Index,Indx Code,Grp,Short Desc,Orig,Size1,Size2,Desc,Size1 Dec,Size2 Dec
222,46,PIP,PIPE,.75" S/40 BORE A587/A106B GALVANIZED PIPE,.75",,S/40 BORE A587/A106B GALVANIZED PIPE,0.75,0
223,46,PIP,PIPE,.75" S/40S A312-TP304/304L SEAMLESS PIPE,.75",,S/40S A312-TP304/304L SEAMLESS PIPE,0.75,0
224,46,PIP,PIPE,.75" S/40s A312-TP304/304L SEAMLESS SS PIPE,.75",,S/40s A312-TP304/304L SEAMLESS SS PIPE,0.75,0
225,46,PIP,PIPE,.75" S/40s A312-TP316/316L SS SEAMLESS PIPE DUAL GRADE "D M",.75",,S/40s A312-TP316/316L SS SEAMLESS PIPE DUAL GRADE "D M",0.75,0
226,46,PIP,PIPE,.75" S/40s ALLOY-C276-B622 UNS-N010276 SEAMLESS PIPE,.75",,S/40s ALLOY-C276-B622 UNS-N010276 SEAMLESS PIPE,0.75,0
227,46,PIP,PIPE,.75" S/80 BORE 316/316L SEAMLESS SS PIPE,.75",,S/80 BORE 316/316L SEAMLESS SS PIPE,0.75,0
228,46,PIP,PIPE,.75" S/80 BORE A106B SEAMLESS CS PIPE,.75",,S/80 BORE A106B SEAMLESS CS PIPE,0.75,0
229,46,PIP,PIPE,.75" S/80 BORE A106B SMLS CS PIPE GALVANIZED T&C,.75",,S/80 BORE A106B SMLS CS PIPE GALVANIZED T&C,0.75,0
230,46,PIP,PIPE,.75" S/80 BORE A106B SMLS CS PIPE T&C,.75",,S/80 BORE A106B SMLS CS PIPE T&C,0.75,0
231,46,PIP,PIPE,.75" S/80s A312-TP304/304L SEAMLESS SS PIPE,.75",,S/80s A312-TP304/304L SEAMLESS SS PIPE,0.75,0
232,46,PIP,PIPE,.75" S/80s A312-TP316/316L SEAMLESS SS PIPE DUAL STAMPED,.75",,S/80s A312-TP316/316L SEAMLESS SS PIPE DUAL STAMPED,0.75,0
233,46,PIP,PIPE,.75" S/XS A106B SEAMLESS CS PIPE,.75",,S/XS A106B SEAMLESS CS PIPE,0.75,0
234,46,PIP,PIPE,.75" S/XS A106B SMLS CS PIPE,.75",,S/XS A106B SMLS CS PIPE,0.75,0
235,46,PIP,PIPE,.75" S/XS A106B SMLS CS PIPE GALVANIZED T&C,.75",,S/XS A106B SMLS CS PIPE GALVANIZED T&C,0.75,0
236,46,PIP,PIPE,.75" S/XS BORE A106B SEAMLESS CS PIPE,.75",,S/XS BORE A106B SEAMLESS CS PIPE,0.75,0
237,46,PIP,PIPE,.75" S/XS BORE A106B SMLS CS PIPE,.75",,S/XS BORE A106B SMLS CS PIPE,0.75,0
238,46,PIP,PIPE,.75" S/XS BORE A106B SMLS CS PIPE GALVANIZED,.75",,S/XS BORE A106B SMLS CS PIPE GALVANIZED,0.75,0
239,46,PIP,PIPE,.75" S/XS SEAMLESS LTCS PIPE A333-6 ,.75",,S/XS SEAMLESS LTCS PIPE A333-6,0.75,0
240,46,PIP,PIPE,.75" S/XXS BORE A106B SMLS CS PIPE ,.75",,S/XXS BORE A106B SMLS CS PIPE,0.75,0
241,16,FLG,FLANGE-WN,.75" SAE 4-BOLT WN FLANGE, CODE 61, O-RING FACE, ,.75",,SAE 4-BOLT WN FLANGE, CODE 61, O-RING FACE,,0.75,0
